"x","y","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","date","id_day_all","month","datetime","behavior","species","id_tree","group"
365639.9,7541083.27,23.679999999993,-0.849999999627471,23.6952505789459,300,495920.488512358,-0.0358798654972146,1.50641384730755,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:15:00,"Frugivory","Eugenia aff. ramboi","AMf199","SantaMaria"
365663.58,7541082.42,5.14999999996508,8.88999999966472,10.2739768343947,300,522248.06235667,1.0457345505269,1.08161441602411,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:20:00,"Inactive",NA,NA,"SantaMaria"
365668.73,7541091.31,24.25,-4.25,24.6196060082204,300,535950.043986342,-0.173495728962782,-1.21923027948968,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:25:00,"Inactive",NA,NA,"SantaMaria"
365692.98,7541087.06,-7.76000000000931,19.4500000001863,20.940871519767,300,561381.062636343,1.95041594347351,2.1239116724363,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:30:00,"Foraging",NA,NA,"SantaMaria"
365685.22,7541106.51,0,0,0,300,569101.609928496,NA,NA,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:35:00,"Frugivory",NA,"AMf052","SantaMaria"
365685.22,7541106.51,25.3800000000047,15.730000000447,29.8592916864131,300,569101.609928496,0.554836331236153,-1.39557961223736,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:40:00,"Foraging",NA,"AMf052","SantaMaria"
365710.6,7541122.24,-1.89999999996508,-0.970000000670552,2.13328385386665,300,614877.759152922,-2.66955949662231,3.05878947932112,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:45:00,"Foraging",NA,NA,"SantaMaria"
365708.7,7541121.27,9.45000000001164,-25.609999999404,27.2978863645098,300,611582.43955234,-1.21729937172037,1.45226012490195,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:50:00,"Foraging",NA,NA,"SantaMaria"
365718.15,7541095.66,-14.3500000000349,-8.45000000018626,16.6530777937338,300,600343.807122887,-2.6094118958381,-1.39211252411774,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:55:00,"Frugivory",NA,"AMf053","SantaMaria"
365703.8,7541087.21,-7.14999999996508,-18.2800000002608,19.6285735602217,300,574881.756092673,-1.94363965617213,0.665772239665974,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:00:00,"Foraging",NA,NA,"SantaMaria"
365696.65,7541068.93,10.5999999999767,-15.4799999995157,18.761407196277,300,550570.41480249,-0.970375674426348,0.973263981745782,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:05:00,"Out of sight",NA,NA,"SantaMaria"
365707.25,7541053.45,-4.63000000000466,-7.20999999996275,8.56860548744695,300,551184.991962846,-2.14164295750169,-1.17126728307534,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:10:00,"Frugivory","Eugenia aff. ramboi","AMf054","SantaMaria"
365702.62,7541046.24,-6.52000000001863,-13.5800000000745,15.0640897502062,300,539716.213268862,-2.01841205529015,0.123230902211543,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:15:00,"Frugivory","Eugenia aff. ramboi","AMf054","SantaMaria"
365696.1,7541032.66,-6.90999999997439,-13.6500000003725,15.2993660002569,300,521218.104732767,-2.03941320209988,-0.0210011468097355,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:20:00,"Frugivory","Eugenia aff. ramboi","AMf054","SantaMaria"
365689.19,7541019.01,-43.2999999999884,-20.8499999996275,48.0584279807763,300,502648.020654515,-2.69283459098026,-0.653421388880383,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:25:00,"Long call",NA,NA,"SantaMaria"
365645.89,7540998.16,0.950000000011642,-0.830000000074506,1.26150703531364,300,437086.377614777,-0.718084287643148,1.97475030333712,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:30:00,"Inactive",NA,NA,"SantaMaria"
365646.84,7540997.33,-2.75,-18.1200000001118,18.3274902811064,300,437593.396604738,-1.72141296903171,-1.00332868138856,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:35:00,"Inactive",NA,NA,"SantaMaria"
365644.09,7540979.21,1.67999999999302,-0.179999999701977,1.68961534080075,300,422426.415874651,-0.106735672474195,1.61467729655751,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:40:00,"Resting",NA,NA,"SantaMaria"
365645.77,7540979.03,-0.900000000023283,1.08999999985099,1.41354165121409,300,424206.406498836,2.26100564852954,2.36774132100373,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:45:00,"Resting",NA,NA,"SantaMaria"
365644.87,7540980.12,0.400000000023283,0.330000000074506,0.518555686563941,300,423896.213138714,0.689800044815865,-1.57120560371367,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:50:00,"Resting",NA,NA,"SantaMaria"
365645.27,7540980.45,0.539999999979045,-2.75,2.80251672608343,300,424562.230878789,-1.37689970298855,-2.06669974780442,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 13:55:00,"Resting",NA,NA,"SantaMaria"
365645.81,7540977.7,1.3300000000163,-2.41999999992549,2.7613945751527,300,423392.803710763,-1.06827042505605,0.3086292779325,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:00:00,"Resting",NA,NA,"SantaMaria"
365647.14,7540975.28,-0.60999999998603,-2.08000000007451,2.1676023621257,300,423344.703644826,-1.85606672205273,-0.78779629699668,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:05:00,"Inactive",NA,NA,"SantaMaria"
365646.53,7540973.2,-13.9400000000023,4.50999999977648,14.651406075802,300,421327.804686792,2.82869142572397,-1.59842715940288,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:10:00,"Inactive",NA,NA,"SantaMaria"
365632.59,7540977.71,-6.24000000004889,-15.1699999999255,16.4032466298093,300,408627.143174649,-1.96103861274556,1.49345526871005,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:15:00,"Frugivory","Eugenia aff. ramboi","AMf057","SantaMaria"
365626.35,7540962.54,-7.27999999996973,-23.6399999996647,24.7355614446834,300,392230.178202632,-1.86953304223389,0.0915055705116719,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:20:00,"Frugivory",NA,"AMf058","SantaMaria"
365619.07,7540938.9,-32.8699999999953,-10.5,34.5063313031057,300,370377.462218837,-2.83239757541268,-0.962864533178794,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 14:25:00,"Frugivory",NA,"AMf060","SantaMaria"
